hdi_group,lang,requested_page_type,frame,n,total,share
bottom20_developing,en,economy,conflict,18,77,0.23376623376623376
bottom20_developing,en,economy,development,28,77,0.36363636363636365
bottom20_developing,en,economy,neutral,31,77,0.4025974025974026
bottom20_developing,en,main,conflict,45,80,0.5625
bottom20_developing,en,main,development,10,80,0.125
bottom20_developing,en,main,neutral,25,80,0.3125
bottom20_developing,en,politics,conflict,50,83,0.6024096385542169
bottom20_developing,en,politics,development,3,83,0.03614457831325301
bottom20_developing,en,politics,neutral,30,83,0.3614457831325301
bottom20_developing,es,economy,conflict,10,63,0.15873015873015872
bottom20_developing,es,economy,development,20,63,0.31746031746031744
bottom20_developing,es,economy,neutral,33,63,0.5238095238095238
bottom20_developing,es,main,conflict,30,80,0.375
bottom20_developing,es,main,development,10,80,0.125
bottom20_developing,es,main,neutral,40,80,0.5
bottom20_developing,es,politics,conflict,22,60,0.36666666666666664
bottom20_developing,es,politics,development,4,60,0.06666666666666667
bottom20_developing,es,politics,neutral,34,60,0.5666666666666667
bottom20_developing,fr,economy,conflict,23,80,0.2875
bottom20_developing,fr,economy,development,37,80,0.4625
bottom20_developing,fr,economy,neutral,20,80,0.25
bottom20_developing,fr,main,conflict,36,80,0.45
bottom20_developing,fr,main,development,11,80,0.1375
bottom20_developing,fr,main,neutral,33,80,0.4125
bottom20_developing,fr,politics,conflict,30,72,0.4166666666666667
bottom20_developing,fr,politics,development,1,72,0.013888888888888888
bottom20_developing,fr,politics,neutral,41,72,0.5694444444444444
bottom20_developing,ru,economy,conflict,17,79,0.21518987341772153
bottom20_developing,ru,economy,development,30,79,0.379746835443038
bottom20_developing,ru,economy,neutral,32,79,0.4050632911392405
bottom20_developing,ru,main,conflict,26,80,0.325
bottom20_developing,ru,main,development,8,80,0.1
bottom20_developing,ru,main,neutral,46,80,0.575
bottom20_developing,ru,politics,conflict,27,72,0.375
bottom20_developing,ru,politics,development,4,72,0.05555555555555555
bottom20_developing,ru,politics,neutral,41,72,0.5694444444444444
middle20,en,economy,conflict,7,79,0.08860759493670886
middle20,en,economy,development,53,79,0.6708860759493671
middle20,en,economy,neutral,19,79,0.24050632911392406
middle20,en,main,conflict,18,80,0.225
middle20,en,main,development,13,80,0.1625
middle20,en,main,neutral,49,80,0.6125
middle20,en,politics,conflict,34,94,0.3617021276595745
middle20,en,politics,development,1,94,0.010638297872340425
middle20,en,politics,neutral,59,94,0.6276595744680851
middle20,es,economy,conflict,7,66,0.10606060606060606
middle20,es,economy,development,29,66,0.4393939393939394
middle20,es,economy,neutral,30,66,0.45454545454545453
middle20,es,main,conflict,16,80,0.2
middle20,es,main,development,13,80,0.1625
middle20,es,main,neutral,51,80,0.6375
middle20,es,politics,conflict,15,76,0.19736842105263158
middle20,es,politics,development,3,76,0.039473684210526314
middle20,es,politics,neutral,58,76,0.7631578947368421
middle20,fr,economy,conflict,15,73,0.2054794520547945
middle20,fr,economy,development,40,73,0.547945205479452
middle20,fr,economy,neutral,18,73,0.2465753424657534
middle20,fr,main,conflict,22,80,0.275
middle20,fr,main,development,9,80,0.1125
middle20,fr,main,neutral,49,80,0.6125
middle20,fr,politics,conflict,32,81,0.3950617283950617
middle20,fr,politics,development,4,81,0.04938271604938271
middle20,fr,politics,neutral,45,81,0.5555555555555556
middle20,ru,economy,conflict,3,75,0.04
middle20,ru,economy,development,39,75,0.52
middle20,ru,economy,neutral,33,75,0.44
middle20,ru,main,conflict,21,80,0.2625
middle20,ru,main,development,10,80,0.125
middle20,ru,main,neutral,49,80,0.6125
middle20,ru,politics,conflict,24,70,0.34285714285714286
middle20,ru,politics,development,4,70,0.05714285714285714
middle20,ru,politics,neutral,42,70,0.6
top20_developed,en,economy,conflict,2,80,0.025
top20_developed,en,economy,development,57,80,0.7125
top20_developed,en,economy,neutral,21,80,0.2625
top20_developed,en,main,conflict,11,80,0.1375
top20_developed,en,main,development,9,80,0.1125
top20_developed,en,main,neutral,60,80,0.75
top20_developed,en,politics,conflict,8,100,0.08
top20_developed,en,politics,development,9,100,0.09
top20_developed,en,politics,neutral,83,100,0.83
top20_developed,es,economy,conflict,1,74,0.013513513513513514
top20_developed,es,economy,development,44,74,0.5945945945945946
top20_developed,es,economy,neutral,29,74,0.3918918918918919
top20_developed,es,main,conflict,8,80,0.1
top20_developed,es,main,development,33,80,0.4125
top20_developed,es,main,neutral,39,80,0.4875
top20_developed,es,politics,conflict,1,77,0.012987012987012988
top20_developed,es,politics,development,9,77,0.11688311688311688
top20_developed,es,politics,neutral,67,77,0.8701298701298701
top20_developed,fr,economy,conflict,7,80,0.0875
top20_developed,fr,economy,development,50,80,0.625
top20_developed,fr,economy,neutral,23,80,0.2875
top20_developed,fr,main,conflict,12,77,0.15584415584415584
top20_developed,fr,main,development,16,77,0.2077922077922078
top20_developed,fr,main,neutral,49,77,0.6363636363636364
top20_developed,fr,politics,conflict,9,89,0.10112359550561797
top20_developed,fr,politics,development,5,89,0.056179775280898875
top20_developed,fr,politics,neutral,75,89,0.8426966292134831
top20_developed,ru,economy,development,49,77,0.6363636363636364
top20_developed,ru,economy,neutral,28,77,0.36363636363636365
top20_developed,ru,main,conflict,4,80,0.05
top20_developed,ru,main,development,18,80,0.225
top20_developed,ru,main,neutral,58,80,0.725
top20_developed,ru,politics,conflict,2,74,0.02702702702702703
top20_developed,ru,politics,development,6,74,0.08108108108108109
top20_developed,ru,politics,neutral,66,74,0.8918918918918919
